Country,HS_Code,Risk_Score,Drop_Months
Afghanistan,84,9.3,2020-01;2020-12;2021-02;2021-06;2021-10;2021-11;2022-06;2022-09;2024-08;2024-10;2024-12;2025-02;2025-06;2025-07;2025-10
Albania,26,9.7,2022-04;2022-06;2022-07;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-03;2023-04;2023-06;2023-09
Albania,39,10.0,2020-09;2021-10;2021-11;2022-06;2023-01;2023-08;2024-07;2025-01;2025-07;2025-12;2026-03
Albania,84,8.2,2020-03;2020-05;2020-11;2021-09;2023-02;2023-06;2023-08;2023-12;2024-01;2024-03;2024-04;2024-05;2024-06;2025-04;2025-05;2025-06;2025-09;2026-02
Algeria,9,10.0,2021-11;2021-12;2022-03;2022-04;2024-03;2025-04;2025-10;2025-11;2026-01;2026-02;2026-03
Algeria,17,8.4,2021-10;2022-11;2024-04;2024-06;2024-08;2024-10;2024-12;2025-04;2025-06;2025-07;2025-09;2025-12;2026-01;2026-02
Algeria,27,3.8,2020-11;2020-12;2023-07;2023-08
Algeria,39,8.9,2020-02;2020-04;2020-10;2020-12;2021-01;2021-02;2021-09;2022-08;2022-12;2023-03;2023-04;2024-06;2024-09;2025-01;2025-02;2025-05;2025-07;2026-03
Algeria,84,9.4,2020-01;2020-02;2020-08;2021-07;2021-08;2021-10;2022-01;2022-02;2022-04;2022-06;2022-08;2022-11;2022-12;2023-03;2023-07;2023-08;2023-10;2024-05;2024-06;2024-09;2024-11;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2026-03
American Samoa,39,8.8,2020-04;2020-05;2020-06;2020-09;2020-11;2021-01;2021-06;2021-08;2021-10;2021-12;2022-02;2022-04;2022-05;2022-10;2022-11;2023-03;2023-06;2023-07;2023-09;2023-12;2024-04;2024-08;2024-10;2025-01;2025-03;2025-05;2025-09;2025-11
American Samoa,72,6.5,2020-06;2020-09;2020-10;2020-12;2022-01;2022-02;2022-03;2022-04;2022-06;2022-10;2022-11;2024-02;2025-01;2025-10;2025-11;2026-02;2026-03
